activity_year,state_code,race_label,total_applications,approvals,approval_rate
2018,AK,Asian,146,137,0.9383561643835616
2018,AK,Black,46,41,0.8913043478260869
2018,AK,Native American,211,185,0.8767772511848341
2018,AK,Pacific Islander,12,12,1.0
2018,AK,White,2012,1899,0.9438369781312127
2018,AL,Asian,546,492,0.9010989010989011
2018,AL,Black,1619,1362,0.8412600370599135
2018,AL,Native American,60,49,0.8166666666666667
2018,AL,Pacific Islander,16,15,0.9375
2018,AL,White,12814,11764,0.9180583736538162
2018,AR,Asian,292,249,0.8527397260273972
2018,AR,Black,529,434,0.8204158790170132
2018,AR,Native American,46,43,0.9347826086956522
2018,AR,Pacific Islander,9,8,0.8888888888888888
2018,AR,White,7863,7037,0.8949510365000636
2018,AZ,Asian,2076,1859,0.8954720616570327
2018,AZ,Black,1331,1157,0.8692712246431255
2018,AZ,Native American,340,304,0.8941176470588236
2018,AZ,Pacific Islander,102,96,0.9411764705882353
2018,AZ,White,38941,35518,0.9120977889627898
2018,CA,Asian,35284,30664,0.8690624645731776
2018,CA,Black,4732,4000,0.8453085376162299
2018,CA,Native American,1071,945,0.8823529411764706
2018,CA,Pacific Islander,615,519,0.8439024390243902
2018,CA,White,101631,90204,0.887563833869587
2018,CO,Asian,1938,1735,0.8952528379772962
2018,CO,Black,776,695,0.895618556701031
2018,CO,Native American,262,229,0.8740458015267175
2018,CO,Pacific Islander,66,57,0.8636363636363636
2018,CO,White,35784,32619,0.9115526492287056
2018,CT,Asian,812,726,0.8940886699507389
2018,CT,Black,884,725,0.8201357466063348
2018,CT,Native American,43,37,0.8604651162790697
2018,CT,Pacific Islander,22,21,0.9545454545454546
2018,CT,White,11830,10764,0.9098901098901099
2018,DC,Asian,260,239,0.9192307692307692
2018,DC,Black,696,592,0.8505747126436781
2018,DC,Native American,22,18,0.8181818181818182
2018,DC,Pacific Islander,2,1,0.5
2018,DC,White,2103,1974,0.9386590584878745
2018,DE,Asian,296,259,0.875
2018,DE,Black,533,435,0.8161350844277674
2018,DE,Native American,23,19,0.8260869565217391
2018,DE,Pacific Islander,7,7,1.0
2018,DE,White,3021,2778,0.9195630585898709
2018,FL,Asian,4363,3683,0.8441439376575751
2018,FL,Black,8316,6614,0.7953342953342953
2018,FL,Native American,487,408,0.837782340862423
2018,FL,Pacific Islander,213,174,0.8169014084507042
2018,FL,White,97708,84742,0.8672984811888484
2018,GA,Asian,4399,3909,0.8886110479654467
2018,GA,Black,7312,5852,0.800328227571116
2018,GA,Native American,200,159,0.795
2018,GA,Pacific Islander,46,41,0.8913043478260869
2018,GA,White,30424,27502,0.9039574020510124
2018,GU,Asian,12,7,0.5833333333333334
2018,GU,Pacific Islander,1,1,1.0
2018,GU,White,1,0,0.0
2018,HI,Asian,2282,2069,0.9066608238387379
2018,HI,Black,34,31,0.9117647058823529
2018,HI,Native American,43,37,0.8604651162790697
2018,HI,Pacific Islander,303,271,0.8943894389438944
2018,HI,White,1758,1549,0.8811149032992036
2018,IA,Asian,495,456,0.9212121212121213
2018,IA,Black,311,271,0.8713826366559485
2018,IA,Native American,50,40,0.8
2018,IA,Pacific Islander,4,3,0.75
2018,IA,White,13936,12875,0.9238662456946038
2018,ID,Asian,222,191,0.8603603603603603
2018,ID,Black,55,49,0.8909090909090909
2018,ID,Native American,109,93,0.8532110091743119
2018,ID,Pacific Islander,28,24,0.8571428571428571
2018,ID,White,12014,10710,0.8914599633760613
2018,IL,Asian,4589,4141,0.9023752451514491
2018,IL,Black,3104,2515,0.8102448453608248
2018,IL,Native American,177,145,0.8192090395480226
2018,IL,Pacific Islander,45,37,0.8222222222222222
2018,IL,White,45518,41480,0.9112878421723274
2018,IN,Asian,1353,1220,0.90169992609017
2018,IN,Black,1194,1018,0.8525963149078727
2018,IN,Native American,72,60,0.8333333333333334
2018,IN,Pacific Islander,23,22,0.9565217391304348
2018,IN,White,26762,24205,0.9044540766758837
2018,KS,Asian,493,431,0.8742393509127789
2018,KS,Black,234,197,0.8418803418803419
2018,KS,Native American,76,62,0.8157894736842105
2018,KS,Pacific Islander,9,8,0.8888888888888888
2018,KS,White,9048,8353,0.9231874447391689
2018,KY,Asian,454,408,0.8986784140969163
2018,KY,Black,589,496,0.8421052631578947
2018,KY,Native American,38,35,0.9210526315789473
2018,KY,Pacific Islander,15,14,0.9333333333333333
2018,KY,White,13442,12259,0.9119922630560928
2018,LA,Asian,403,357,0.8858560794044665
2018,LA,Black,1423,1155,0.8116654954321855
2018,LA,Native American,53,41,0.7735849056603774
2018,LA,Pacific Islander,18,14,0.7777777777777778
2018,LA,White,9577,8825,0.9214785423410253
2018,MA,Asian,3376,3060,0.9063981042654028
2018,MA,Black,1701,1476,0.8677248677248677
2018,MA,Native American,80,65,0.8125
2018,MA,Pacific Islander,36,29,0.8055555555555556
2018,MA,White,24720,22909,0.9267394822006473
2018,MD,Asian,3081,2733,0.887049659201558
2018,MD,Black,4820,4139,0.858713692946058
2018,MD,Native American,97,80,0.8247422680412371
